consumption_id,icp_id,retailer_id,price_category_code,region,billing_month,billing_period_start,billing_period_end,icp_days,price_year,expected_delivery_charge_unrounded,component_count,expected_delivery_charge,data_origin
ICP000026-202602,ICP000026,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,46.02254138,6,46.02,Calculated from public prices and simulated quantities
ICP000027-202602,ICP000027,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,49.66129142,6,49.66,Calculated from public prices and simulated quantities
ICP000028-202602,ICP000028,RET002,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,62.86489152,6,62.86,Calculated from public prices and simulated quantities
ICP000029-202602,ICP000029,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.29040667,6,64.29,Calculated from public prices and simulated quantities
ICP000030-202602,ICP000030,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,42.640501369999996,6,42.64,Calculated from public prices and simulated quantities
ICP000031-202602,ICP000031,RET002,RSU,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,58.3416888,6,58.34,Calculated from public prices and simulated quantities
ICP000032-202602,ICP000032,RET004,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.603293879999995,6,48.6,Calculated from public prices and simulated quantities
ICP000033-202602,ICP000033,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,53.644503879999995,6,53.64,Calculated from public prices and simulated quantities
ICP000034-202602,ICP000034,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,71.21284358,6,71.21,Calculated from public prices and simulated quantities
ICP000035-202602,ICP000035,RET005,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,77.58417064999999,6,77.58,Calculated from public prices and simulated quantities
ICP000036-202602,ICP000036,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.49556692,6,48.5,Calculated from public prices and simulated quantities
ICP000037-202602,ICP000037,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,66.76860033,6,66.77,Calculated from public prices and simulated quantities
ICP000038-202602,ICP000038,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.65179696999999,6,54.65,Calculated from public prices and simulated quantities
ICP000039-202602,ICP000039,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.25893165,6,60.26,Calculated from public prices and simulated quantities
ICP000040-202602,ICP000040,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.97144673,6,54.97,Calculated from public prices and simulated quantities
ICP000041-202602,ICP000041,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,42.82872953,6,42.83,Calculated from public prices and simulated quantities
ICP000042-202602,ICP000042,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.41527627999999,6,60.42,Calculated from public prices and simulated quantities
ICP000043-202602,ICP000043,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,92.23333573,6,92.23,Calculated from public prices and simulated quantities
ICP000044-202602,ICP000044,RET003,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.41924578,6,54.42,Calculated from public prices and simulated quantities
ICP000045-202602,ICP000045,RET001,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,70.54290553999999,6,70.54,Calculated from public prices and simulated quantities
ICP000046-202602,ICP000046,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,68.30428505,6,68.3,Calculated from public prices and simulated quantities
ICP000047-202602,ICP000047,RET001,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,57.28775726999999,6,57.29,Calculated from public prices and simulated quantities
ICP000048-202602,ICP000048,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.10345201,6,55.1,Calculated from public prices and simulated quantities
ICP000049-202602,ICP000049,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,47.96537342,6,47.97,Calculated from public prices and simulated quantities
ICP000050-202602,ICP000050,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.77851191,6,40.78,Calculated from public prices and simulated quantities
ICP000051-202602,ICP000051,RET004,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,45.23459878,6,45.23,Calculated from public prices and simulated quantities
ICP000052-202602,ICP000052,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,112.73178035,6,112.73,Calculated from public prices and simulated quantities
ICP000053-202602,ICP000053,RET003,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,52.97032261,6,52.97,Calculated from public prices and simulated quantities
ICP000054-202602,ICP000054,RET002,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,63.2596827,6,63.26,Calculated from public prices and simulated quantities
ICP000055-202602,ICP000055,RET001,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,49.14801336,6,49.15,Calculated from public prices and simulated quantities
ICP000056-202602,ICP000056,RET005,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.69986769,6,55.7,Calculated from public prices and simulated quantities
ICP000057-202602,ICP000057,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,53.972355949999994,6,53.97,Calculated from public prices and simulated quantities
ICP000058-202602,ICP000058,RET003,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,41.627008319999995,6,41.63,Calculated from public prices and simulated quantities
ICP000059-202602,ICP000059,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.81137467,6,40.81,Calculated from public prices and simulated quantities
ICP000060-202602,ICP000060,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.277060459999994,6,54.28,Calculated from public prices and simulated quantities
ICP000061-202602,ICP000061,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.82078627,6,40.82,Calculated from public prices and simulated quantities
ICP000062-202602,ICP000062,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.74160466,6,65.74,Calculated from public prices and simulated quantities
ICP000063-202602,ICP000063,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.931466349999994,6,50.93,Calculated from public prices and simulated quantities
ICP000064-202602,ICP000064,RET002,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,53.57314108,6,53.57,Calculated from public prices and simulated quantities
ICP000065-202602,ICP000065,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,58.56544837999999,6,58.57,Calculated from public prices and simulated quantities
ICP000066-202602,ICP000066,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,70.66376924999999,6,70.66,Calculated from public prices and simulated quantities
ICP000067-202602,ICP000067,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.55966042,6,51.56,Calculated from public prices and simulated quantities
ICP000068-202602,ICP000068,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,34.5569535,6,34.56,Calculated from public prices and simulated quantities
ICP000069-202602,ICP000069,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,57.263985649999995,6,57.26,Calculated from public prices and simulated quantities
ICP000070-202602,ICP000070,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,59.33231732,6,59.33,Calculated from public prices and simulated quantities
ICP000071-202602,ICP000071,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,63.67876362,6,63.68,Calculated from public prices and simulated quantities
ICP000072-202602,ICP000072,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,79.27960491,6,79.28,Calculated from public prices and simulated quantities
ICP000073-202602,ICP000073,RET002,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,63.94359793999999,6,63.94,Calculated from public prices and simulated quantities
ICP000074-202602,ICP000074,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,73.66390724,6,73.66,Calculated from public prices and simulated quantities
ICP000075-202602,ICP000075,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.224111979999996,6,50.22,Calculated from public prices and simulated quantities
ICP000076-202602,ICP000076,RET003,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,88.59374634,6,88.59,Calculated from public prices and simulated quantities
ICP000077-202602,ICP000077,RET002,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,54.82190808,6,54.82,Calculated from public prices and simulated quantities
ICP000078-202602,ICP000078,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.59700982,6,51.6,Calculated from public prices and simulated quantities
ICP000079-202602,ICP000079,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,39.723834759999995,6,39.72,Calculated from public prices and simulated quantities
ICP000080-202602,ICP000080,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.264973479999995,6,55.26,Calculated from public prices and simulated quantities
ICP000081-202602,ICP000081,RET003,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,100.43564986999999,6,100.44,Calculated from public prices and simulated quantities
ICP000082-202602,ICP000082,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,82.19476234999999,6,82.19,Calculated from public prices and simulated quantities
ICP000083-202602,ICP000083,RET003,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,47.36962844,6,47.37,Calculated from public prices and simulated quantities
ICP000084-202602,ICP000084,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,80.60624181,6,80.61,Calculated from public prices and simulated quantities
ICP000085-202602,ICP000085,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.91013225,6,60.91,Calculated from public prices and simulated quantities
ICP000086-202602,ICP000086,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,41.5920165,6,41.59,Calculated from public prices and simulated quantities
ICP000087-202602,ICP000087,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.80537212,6,51.81,Calculated from public prices and simulated quantities
ICP000088-202602,ICP000088,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,47.02597716,6,47.03,Calculated from public prices and simulated quantities
ICP000089-202602,ICP000089,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.82631169,6,64.83,Calculated from public prices and simulated quantities
ICP000090-202602,ICP000090,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.84878107,6,52.85,Calculated from public prices and simulated quantities
ICP000091-202602,ICP000091,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,43.76780837,6,43.77,Calculated from public prices and simulated quantities
ICP000092-202602,ICP000092,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,44.355024,6,44.36,Calculated from public prices and simulated quantities
ICP000093-202602,ICP000093,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.13393101,6,50.13,Calculated from public prices and simulated quantities
ICP000094-202602,ICP000094,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,61.22692925999999,6,61.23,Calculated from public prices and simulated quantities
ICP000095-202602,ICP000095,RET001,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,57.10533808,6,57.11,Calculated from public prices and simulated quantities
ICP000096-202602,ICP000096,RET002,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.72464228,6,64.72,Calculated from public prices and simulated quantities
ICP000097-202602,ICP000097,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.358906229999995,6,48.36,Calculated from public prices and simulated quantities
ICP000098-202602,ICP000098,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,68.13675477,6,68.14,Calculated from public prices and simulated quantities
ICP000099-202602,ICP000099,RET003,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,62.6527263,6,62.65,Calculated from public prices and simulated quantities
ICP000100-202602,ICP000100,RET003,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,93.72446206,6,93.72,Calculated from public prices and simulated quantities
ICP000101-202602,ICP000101,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,66.7037091,6,66.7,Calculated from public prices and simulated quantities
ICP000102-202602,ICP000102,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,85.18343718999999,6,85.18,Calculated from public prices and simulated quantities
ICP000103-202602,ICP000103,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,96.88805078,6,96.89,Calculated from public prices and simulated quantities
ICP000104-202602,ICP000104,RET005,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,89.96325218999999,6,89.96,Calculated from public prices and simulated quantities
ICP000105-202602,ICP000105,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,57.156440180000004,6,57.16,Calculated from public prices and simulated quantities
ICP000106-202602,ICP000106,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,39.46086766,6,39.46,Calculated from public prices and simulated quantities
ICP000107-202602,ICP000107,RET004,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,58.66236999,6,58.66,Calculated from public prices and simulated quantities
ICP000108-202602,ICP000108,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,49.12316508,6,49.12,Calculated from public prices and simulated quantities
ICP000109-202602,ICP000109,RET001,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,87.55584942,6,87.56,Calculated from public prices and simulated quantities
ICP000110-202602,ICP000110,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,38.64423407,6,38.64,Calculated from public prices and simulated quantities
ICP000111-202602,ICP000111,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,58.53729404,6,58.54,Calculated from public prices and simulated quantities
ICP000112-202602,ICP000112,RET003,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,75.50811166,6,75.51,Calculated from public prices and simulated quantities
ICP000113-202602,ICP000113,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,62.438908139999995,6,62.44,Calculated from public prices and simulated quantities
ICP000114-202602,ICP000114,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.22724234,6,48.23,Calculated from public prices and simulated quantities
ICP000115-202602,ICP000115,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,67.70622645,6,67.71,Calculated from public prices and simulated quantities
ICP000116-202602,ICP000116,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.09247524,6,54.09,Calculated from public prices and simulated quantities
ICP000117-202602,ICP000117,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,43.91888154,6,43.92,Calculated from public prices and simulated quantities
ICP000118-202602,ICP000118,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,62.52360356,6,62.52,Calculated from public prices and simulated quantities
ICP000119-202602,ICP000119,RET004,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,44.05171681,6,44.05,Calculated from public prices and simulated quantities
ICP000120-202602,ICP000120,RET004,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,61.183842729999995,6,61.18,Calculated from public prices and simulated quantities
ICP000121-202602,ICP000121,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.92984589,6,55.93,Calculated from public prices and simulated quantities
ICP000122-202602,ICP000122,RET005,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,47.19086615,6,47.19,Calculated from public prices and simulated quantities
ICP000123-202602,ICP000123,RET005,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,100.53853473999999,6,100.54,Calculated from public prices and simulated quantities
ICP000124-202602,ICP000124,RET004,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,60.14529123,6,60.15,Calculated from public prices and simulated quantities
ICP000125-202602,ICP000125,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.86739933,6,51.87,Calculated from public prices and simulated quantities
ICP000126-202602,ICP000126,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.08877719,6,51.09,Calculated from public prices and simulated quantities
ICP000127-202602,ICP000127,RET001,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.08690525,6,64.09,Calculated from public prices and simulated quantities
ICP000128-202602,ICP000128,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.95288174,6,60.95,Calculated from public prices and simulated quantities
ICP000129-202602,ICP000129,RET002,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,51.026104319999995,6,51.03,Calculated from public prices and simulated quantities
ICP000130-202602,ICP000130,RET001,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,102.52149238,6,102.52,Calculated from public prices and simulated quantities
ICP000131-202602,ICP000131,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,75.29372867,6,75.29,Calculated from public prices and simulated quantities
ICP000132-202602,ICP000132,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.269063599999996,6,50.27,Calculated from public prices and simulated quantities
ICP000133-202602,ICP000133,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.825358429999994,6,52.83,Calculated from public prices and simulated quantities
ICP000134-202602,ICP000134,RET004,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,55.34523658999999,6,55.35,Calculated from public prices and simulated quantities
ICP000135-202602,ICP000135,RET001,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,62.53974711,6,62.54,Calculated from public prices and simulated quantities
ICP000136-202602,ICP000136,RET001,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.947571079999996,6,52.95,Calculated from public prices and simulated quantities
ICP000137-202602,ICP000137,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.11415641,6,51.11,Calculated from public prices and simulated quantities
ICP000138-202602,ICP000138,RET001,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,56.40532578,6,56.41,Calculated from public prices and simulated quantities
ICP000139-202602,ICP000139,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,63.38226498,6,63.38,Calculated from public prices and simulated quantities
ICP000140-202602,ICP000140,RET002,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,78.0414889,6,78.04,Calculated from public prices and simulated quantities
ICP000141-202602,ICP000141,RET002,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,48.40315467,6,48.4,Calculated from public prices and simulated quantities
ICP000142-202602,ICP000142,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.28083436,6,60.28,Calculated from public prices and simulated quantities
ICP000143-202602,ICP000143,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,42.44531866,6,42.45,Calculated from public prices and simulated quantities
ICP000144-202602,ICP000144,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,78.35120963,6,78.35,Calculated from public prices and simulated quantities
ICP000145-202602,ICP000145,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,59.28092644,6,59.28,Calculated from public prices and simulated quantities
ICP000146-202602,ICP000146,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,49.28078868,6,49.28,Calculated from public prices and simulated quantities
ICP000147-202602,ICP000147,RET003,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,73.45297674999999,6,73.45,Calculated from public prices and simulated quantities
ICP000148-202602,ICP000148,RET005,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,48.77796855,6,48.78,Calculated from public prices and simulated quantities
ICP000149-202602,ICP000149,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,57.486713779999995,6,57.49,Calculated from public prices and simulated quantities
ICP000150-202602,ICP000150,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,61.6054254,6,61.61,Calculated from public prices and simulated quantities
ICP000151-202602,ICP000151,RET003,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,67.41371708999999,6,67.41,Calculated from public prices and simulated quantities
ICP000152-202602,ICP000152,RET002,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,53.298100930000004,6,53.3,Calculated from public prices and simulated quantities
ICP000153-202602,ICP000153,RET003,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,47.18116427,6,47.18,Calculated from public prices and simulated quantities
ICP000154-202602,ICP000154,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.71146081,6,64.71,Calculated from public prices and simulated quantities
ICP000155-202602,ICP000155,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,62.26620657,6,62.27,Calculated from public prices and simulated quantities
ICP000156-202602,ICP000156,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.60040555,6,60.6,Calculated from public prices and simulated quantities
ICP000157-202602,ICP000157,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,62.55543579,6,62.56,Calculated from public prices and simulated quantities
ICP000158-202602,ICP000158,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,68.42146609999999,6,68.42,Calculated from public prices and simulated quantities
ICP000159-202602,ICP000159,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,71.27723987,6,71.28,Calculated from public prices and simulated quantities
ICP000160-202602,ICP000160,RET003,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.92565001,6,51.93,Calculated from public prices and simulated quantities
ICP000161-202602,ICP000161,RET003,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,68.56266183,6,68.56,Calculated from public prices and simulated quantities
ICP000162-202602,ICP000162,RET001,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,49.16965918,6,49.17,Calculated from public prices and simulated quantities
ICP000163-202602,ICP000163,RET003,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,58.15438263,6,58.15,Calculated from public prices and simulated quantities
ICP000164-202602,ICP000164,RET001,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,72.52327123,6,72.52,Calculated from public prices and simulated quantities
ICP000165-202602,ICP000165,RET001,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,74.48215564,6,74.48,Calculated from public prices and simulated quantities
