consumption_id,icp_id,retailer_id,price_category_code,region,billing_month,charge_at_2025_rates,charge_at_2026_rates,price_change_impact,price_change_impact_pct,analysis_basis
ICP000001-202604,ICP000001,RET002,URES,Selwyn,2026-04,59.00939,67.40923,8.39984,14.23,Same quantities and categories; price schedule changed only
ICP000016-202604,ICP000016,RET002,URES,Central Canterbury Rural,2026-04,51.94042,59.74706,7.80664,15.03,Same quantities and categories; price schedule changed only
ICP000017-202604,ICP000017,RET003,RSC,Christchurch Urban,2026-04,84.6591,94.65065,9.99155,11.8,Same quantities and categories; price schedule changed only
ICP000018-202604,ICP000018,RET003,URES,Christchurch Urban,2026-04,64.6946,73.89356,9.19897,14.22,Same quantities and categories; price schedule changed only
ICP000019-202604,ICP000019,RET001,RSU,Christchurch Urban,2026-04,79.21373,87.78357,8.56984,10.82,Same quantities and categories; price schedule changed only
ICP000020-202604,ICP000020,RET001,URES,Selwyn,2026-04,81.48602,92.33256,10.84654,13.31,Same quantities and categories; price schedule changed only
ICP000021-202604,ICP000021,RET005,URES,Christchurch Urban,2026-04,53.62342,61.43337,7.80995,14.56,Same quantities and categories; price schedule changed only
ICP000022-202604,ICP000022,RET002,RSC,Christchurch Urban,2026-04,79.72413,89.51247,9.78835,12.28,Same quantities and categories; price schedule changed only
ICP000023-202604,ICP000023,RET002,RES,Christchurch Urban,2026-04,72.80816,83.35841,10.55026,14.49,Same quantities and categories; price schedule changed only
ICP000024-202604,ICP000024,RET002,RES,Christchurch Urban,2026-04,59.89006,68.80125,8.91118,14.88,Same quantities and categories; price schedule changed only
ICP000025-202604,ICP000025,RET002,RES,Christchurch Urban,2026-04,50.61548,58.59854,7.98307,15.77,Same quantities and categories; price schedule changed only
ICP000026-202604,ICP000026,RET004,RES,Christchurch Urban,2026-04,56.7217,65.78393,9.06223,15.98,Same quantities and categories; price schedule changed only
ICP000027-202604,ICP000027,RET002,RES,Christchurch Urban,2026-04,48.6547,56.59146,7.93676,16.31,Same quantities and categories; price schedule changed only
ICP000028-202604,ICP000028,RET002,RES,Selwyn,2026-04,75.95844,86.93937,10.98093,14.46,Same quantities and categories; price schedule changed only
ICP000029-202604,ICP000029,RET001,RSC,Christchurch Urban,2026-04,96.67515,108.72641,12.05127,12.47,Same quantities and categories; price schedule changed only
ICP000030-202604,ICP000030,RET001,RES,Christchurch Urban,2026-04,92.14556,104.74805,12.60248,13.68,Same quantities and categories; price schedule changed only
ICP000031-202604,ICP000031,RET002,RSU,Selwyn,2026-04,83.35879,92.30995,8.95115,10.74,Same quantities and categories; price schedule changed only
ICP000032-202604,ICP000032,RET004,URES,Christchurch Urban,2026-04,85.34393,96.76591,11.42198,13.38,Same quantities and categories; price schedule changed only
ICP000033-202604,ICP000033,RET002,RES,Christchurch Urban,2026-04,56.01038,64.71358,8.7032,15.54,Same quantities and categories; price schedule changed only
ICP000034-202604,ICP000034,RET004,RES,Christchurch Urban,2026-04,52.73484,61.06653,8.33169,15.8,Same quantities and categories; price schedule changed only
ICP000035-202604,ICP000035,RET005,RSC,Selwyn,2026-04,84.88154,94.89986,10.01833,11.8,Same quantities and categories; price schedule changed only
ICP000036-202604,ICP000036,RET001,RES,Christchurch Urban,2026-04,59.21648,68.33976,9.12328,15.41,Same quantities and categories; price schedule changed only
ICP000037-202604,ICP000037,RET004,RES,Christchurch Urban,2026-04,43.92009,51.22071,7.30062,16.62,Same quantities and categories; price schedule changed only
ICP000038-202604,ICP000038,RET004,RSC,Christchurch Urban,2026-04,73.02472,81.693,8.66828,11.87,Same quantities and categories; price schedule changed only
ICP000039-202604,ICP000039,RET004,RES,Christchurch Urban,2026-04,51.72262,59.98026,8.25763,15.97,Same quantities and categories; price schedule changed only
ICP000040-202604,ICP000040,RET004,RES,Christchurch Urban,2026-04,69.41138,79.39961,9.98823,14.39,Same quantities and categories; price schedule changed only
ICP000041-202604,ICP000041,RET004,RES,Christchurch Urban,2026-04,75.6336,86.19734,10.56374,13.97,Same quantities and categories; price schedule changed only
ICP000042-202604,ICP000042,RET002,RSC,Christchurch Urban,2026-04,86.70642,97.44975,10.74333,12.39,Same quantities and categories; price schedule changed only
ICP000043-202604,ICP000043,RET001,RSC,Christchurch Urban,2026-04,63.94613,71.22024,7.27412,11.38,Same quantities and categories; price schedule changed only
ICP000044-202604,ICP000044,RET003,URES,Christchurch Urban,2026-04,75.90619,86.2754,10.36921,13.66,Same quantities and categories; price schedule changed only
ICP000045-202604,ICP000045,RET001,RSC,Central Canterbury Rural,2026-04,96.13878,108.09796,11.95917,12.44,Same quantities and categories; price schedule changed only
ICP000046-202604,ICP000046,RET002,RSC,Christchurch Urban,2026-04,76.29468,85.25236,8.95768,11.74,Same quantities and categories; price schedule changed only
ICP000047-202604,ICP000047,RET001,RSU,Christchurch Urban,2026-04,57.21617,62.83781,5.62164,9.83,Same quantities and categories; price schedule changed only
ICP000048-202604,ICP000048,RET002,RES,Christchurch Urban,2026-04,52.74333,61.0276,8.28427,15.71,Same quantities and categories; price schedule changed only
ICP000049-202604,ICP000049,RET001,RES,Christchurch Urban,2026-04,44.43846,51.87831,7.43985,16.74,Same quantities and categories; price schedule changed only
ICP000050-202604,ICP000050,RET004,RES,Christchurch Urban,2026-04,75.79754,86.42946,10.63192,14.03,Same quantities and categories; price schedule changed only
ICP000051-202604,ICP000051,RET004,URES,Christchurch Urban,2026-04,62.69725,71.65828,8.96103,14.29,Same quantities and categories; price schedule changed only
ICP000052-202604,ICP000052,RET001,RSC,Christchurch Urban,2026-04,62.061,69.28634,7.22534,11.64,Same quantities and categories; price schedule changed only
ICP000053-202604,ICP000053,RET003,RSC,Central Canterbury Rural,2026-04,73.71695,82.68739,8.97044,12.17,Same quantities and categories; price schedule changed only
ICP000054-202604,ICP000054,RET002,RSC,Selwyn,2026-04,96.86733,108.7033,11.83597,12.22,Same quantities and categories; price schedule changed only
ICP000055-202604,ICP000055,RET001,RES,Central Canterbury Rural,2026-04,79.15895,90.80544,11.64649,14.71,Same quantities and categories; price schedule changed only
ICP000056-202604,ICP000056,RET005,URES,Christchurch Urban,2026-04,66.36678,75.57315,9.20637,13.87,Same quantities and categories; price schedule changed only
ICP000057-202604,ICP000057,RET001,RES,Christchurch Urban,2026-04,107.99203,122.61799,14.62597,13.54,Same quantities and categories; price schedule changed only
ICP000058-202604,ICP000058,RET003,RES,Selwyn,2026-04,59.86836,69.03645,9.16809,15.31,Same quantities and categories; price schedule changed only
ICP000059-202604,ICP000059,RET002,RES,Christchurch Urban,2026-04,77.51894,88.41846,10.89952,14.06,Same quantities and categories; price schedule changed only
ICP000060-202604,ICP000060,RET002,RES,Christchurch Urban,2026-04,47.12217,54.90167,7.77951,16.51,Same quantities and categories; price schedule changed only
ICP000061-202604,ICP000061,RET001,RES,Christchurch Urban,2026-04,56.46155,64.98882,8.52727,15.1,Same quantities and categories; price schedule changed only
ICP000062-202604,ICP000062,RET002,RES,Christchurch Urban,2026-04,66.20629,75.79629,9.59,14.49,Same quantities and categories; price schedule changed only
ICP000063-202604,ICP000063,RET002,RSC,Christchurch Urban,2026-04,98.97624,110.49004,11.5138,11.63,Same quantities and categories; price schedule changed only
ICP000064-202604,ICP000064,RET002,RES,Central Canterbury Rural,2026-04,65.36653,75.09733,9.7308,14.89,Same quantities and categories; price schedule changed only
ICP000065-202604,ICP000065,RET001,RES,Christchurch Urban,2026-04,51.18364,59.55017,8.36652,16.35,Same quantities and categories; price schedule changed only
ICP000066-202604,ICP000066,RET002,RSC,Christchurch Urban,2026-04,80.97553,90.57986,9.60433,11.86,Same quantities and categories; price schedule changed only
ICP000067-202604,ICP000067,RET004,RES,Christchurch Urban,2026-04,60.49998,69.81824,9.31826,15.4,Same quantities and categories; price schedule changed only
ICP000068-202604,ICP000068,RET004,RES,Christchurch Urban,2026-04,54.40403,62.96159,8.55756,15.73,Same quantities and categories; price schedule changed only
ICP000069-202604,ICP000069,RET001,RES,Christchurch Urban,2026-04,56.4404,65.10784,8.66744,15.36,Same quantities and categories; price schedule changed only
ICP000070-202604,ICP000070,RET001,RES,Christchurch Urban,2026-04,64.36921,73.93282,9.5636,14.86,Same quantities and categories; price schedule changed only
ICP000071-202604,ICP000071,RET002,RES,Christchurch Urban,2026-04,49.90794,57.91241,8.00447,16.04,Same quantities and categories; price schedule changed only
ICP000072-202604,ICP000072,RET004,RSC,Christchurch Urban,2026-04,66.52271,74.54625,8.02353,12.06,Same quantities and categories; price schedule changed only
ICP000073-202604,ICP000073,RET002,RSC,Central Canterbury Rural,2026-04,73.13613,81.61595,8.47982,11.59,Same quantities and categories; price schedule changed only
ICP000074-202604,ICP000074,RET003,RES,Christchurch Urban,2026-04,54.51693,62.98181,8.46488,15.53,Same quantities and categories; price schedule changed only
ICP000075-202604,ICP000075,RET003,RES,Christchurch Urban,2026-04,51.02019,59.17231,8.15212,15.98,Same quantities and categories; price schedule changed only
ICP000076-202604,ICP000076,RET003,RSC,Christchurch Urban,2026-04,65.84775,73.69044,7.84269,11.91,Same quantities and categories; price schedule changed only
ICP000077-202604,ICP000077,RET002,RES,Central Canterbury Rural,2026-04,53.7024,62.2413,8.5389,15.9,Same quantities and categories; price schedule changed only
ICP000078-202604,ICP000078,RET003,RES,Christchurch Urban,2026-04,67.21226,77.04458,9.83232,14.63,Same quantities and categories; price schedule changed only
ICP000079-202604,ICP000079,RET002,RES,Christchurch Urban,2026-04,54.43815,63.11687,8.67872,15.94,Same quantities and categories; price schedule changed only
ICP000080-202604,ICP000080,RET001,RES,Christchurch Urban,2026-04,46.75432,54.52535,7.77103,16.62,Same quantities and categories; price schedule changed only
ICP000081-202604,ICP000081,RET003,RSU,Christchurch Urban,2026-04,80.59203,89.18766,8.59563,10.67,Same quantities and categories; price schedule changed only
ICP000082-202604,ICP000082,RET003,RES,Christchurch Urban,2026-04,40.48568,47.51614,7.03045,17.37,Same quantities and categories; price schedule changed only
ICP000083-202604,ICP000083,RET003,RES,Selwyn,2026-04,68.7806,79.06826,10.28766,14.96,Same quantities and categories; price schedule changed only
ICP000084-202604,ICP000084,RET004,RSC,Christchurch Urban,2026-04,49.92493,55.59559,5.67066,11.36,Same quantities and categories; price schedule changed only
ICP000085-202604,ICP000085,RET001,RES,Christchurch Urban,2026-04,107.87487,121.87732,14.00246,12.98,Same quantities and categories; price schedule changed only
ICP000086-202604,ICP000086,RET004,RES,Christchurch Urban,2026-04,46.44621,54.08234,7.63613,16.44,Same quantities and categories; price schedule changed only
ICP000087-202604,ICP000087,RET001,RES,Christchurch Urban,2026-04,66.04875,75.65969,9.61094,14.55,Same quantities and categories; price schedule changed only
ICP000088-202604,ICP000088,RET001,RES,Christchurch Urban,2026-04,73.2453,83.64066,10.39536,14.19,Same quantities and categories; price schedule changed only
ICP000089-202604,ICP000089,RET004,RES,Christchurch Urban,2026-04,47.72333,55.58703,7.86371,16.48,Same quantities and categories; price schedule changed only
ICP000090-202604,ICP000090,RET002,RES,Christchurch Urban,2026-04,50.63025,58.74445,8.1142,16.03,Same quantities and categories; price schedule changed only
ICP000091-202604,ICP000091,RET004,RES,Christchurch Urban,2026-04,52.03888,60.39082,8.35193,16.05,Same quantities and categories; price schedule changed only
ICP000092-202604,ICP000092,RET001,RES,Christchurch Urban,2026-04,62.62304,72.23168,9.60864,15.34,Same quantities and categories; price schedule changed only
ICP000093-202604,ICP000093,RET005,RES,Christchurch Urban,2026-04,52.46029,60.63778,8.17749,15.59,Same quantities and categories; price schedule changed only
ICP000094-202604,ICP000094,RET005,RES,Christchurch Urban,2026-04,50.46071,58.58169,8.12098,16.09,Same quantities and categories; price schedule changed only
ICP000095-202604,ICP000095,RET001,RES,Central Canterbury Rural,2026-04,67.49943,77.30555,9.80612,14.53,Same quantities and categories; price schedule changed only
ICP000096-202604,ICP000096,RET002,URES,Christchurch Urban,2026-04,54.54625,62.62827,8.08202,14.82,Same quantities and categories; price schedule changed only
ICP000097-202604,ICP000097,RET001,RES,Christchurch Urban,2026-04,61.92622,71.4783,9.55208,15.42,Same quantities and categories; price schedule changed only
ICP000098-202604,ICP000098,RET005,RES,Christchurch Urban,2026-04,49.55302,57.48626,7.93324,16.01,Same quantities and categories; price schedule changed only
ICP000099-202604,ICP000099,RET003,RSC,Selwyn,2026-04,75.10679,84.09973,8.99294,11.97,Same quantities and categories; price schedule changed only
ICP000100-202604,ICP000100,RET003,RSC,Central Canterbury Rural,2026-04,79.16528,88.42363,9.25835,11.69,Same quantities and categories; price schedule changed only
ICP000101-202604,ICP000101,RET003,RES,Christchurch Urban,2026-04,87.09061,99.20134,12.11073,13.91,Same quantities and categories; price schedule changed only
ICP000102-202604,ICP000102,RET001,RSC,Christchurch Urban,2026-04,68.65383,77.1363,8.48248,12.36,Same quantities and categories; price schedule changed only
ICP000103-202604,ICP000103,RET002,RSC,Christchurch Urban,2026-04,83.75213,94.30817,10.55604,12.6,Same quantities and categories; price schedule changed only
ICP000104-202604,ICP000104,RET005,RSC,Christchurch Urban,2026-04,75.26702,83.8663,8.59928,11.43,Same quantities and categories; price schedule changed only
ICP000105-202604,ICP000105,RET001,RES,Christchurch Urban,2026-04,98.28029,111.32497,13.04468,13.27,Same quantities and categories; price schedule changed only
ICP000106-202604,ICP000106,RET001,RES,Christchurch Urban,2026-04,53.43432,61.89319,8.45887,15.83,Same quantities and categories; price schedule changed only
ICP000107-202604,ICP000107,RET004,URES,Christchurch Urban,2026-04,56.64261,64.97725,8.33464,14.71,Same quantities and categories; price schedule changed only
ICP000108-202604,ICP000108,RET001,RES,Christchurch Urban,2026-04,50.06724,57.97342,7.90618,15.79,Same quantities and categories; price schedule changed only
ICP000109-202604,ICP000109,RET001,RSC,Selwyn,2026-04,75.46824,84.59155,9.12331,12.09,Same quantities and categories; price schedule changed only
ICP000110-202604,ICP000110,RET002,RES,Christchurch Urban,2026-04,65.44865,75.12363,9.67498,14.78,Same quantities and categories; price schedule changed only
ICP000111-202604,ICP000111,RET002,RES,Christchurch Urban,2026-04,65.14628,74.88076,9.73448,14.94,Same quantities and categories; price schedule changed only
ICP000112-202604,ICP000112,RET003,RSU,Christchurch Urban,2026-04,65.70897,72.49329,6.78431,10.32,Same quantities and categories; price schedule changed only
ICP000113-202604,ICP000113,RET001,RES,Christchurch Urban,2026-04,70.58262,80.84437,10.26175,14.54,Same quantities and categories; price schedule changed only
ICP000114-202604,ICP000114,RET001,RES,Christchurch Urban,2026-04,72.88184,83.45331,10.57147,14.5,Same quantities and categories; price schedule changed only
ICP000115-202604,ICP000115,RET004,RES,Christchurch Urban,2026-04,86.80304,98.7792,11.97616,13.8,Same quantities and categories; price schedule changed only
ICP000116-202604,ICP000116,RET002,RES,Christchurch Urban,2026-04,60.86332,70.19821,9.33489,15.34,Same quantities and categories; price schedule changed only
ICP000117-202604,ICP000117,RET001,RES,Christchurch Urban,2026-04,73.79266,84.15171,10.35906,14.04,Same quantities and categories; price schedule changed only
ICP000118-202604,ICP000118,RET003,RES,Christchurch Urban,2026-04,64.18209,73.6746,9.49251,14.79,Same quantities and categories; price schedule changed only
ICP000119-202604,ICP000119,RET004,RES,Selwyn,2026-04,73.95436,84.56865,10.61429,14.35,Same quantities and categories; price schedule changed only
ICP000120-202604,ICP000120,RET004,RES,Selwyn,2026-04,78.24101,89.26743,11.02643,14.09,Same quantities and categories; price schedule changed only
ICP000121-202604,ICP000121,RET002,RES,Christchurch Urban,2026-04,56.12245,64.83423,8.71177,15.52,Same quantities and categories; price schedule changed only
ICP000122-202604,ICP000122,RET005,RES,Selwyn,2026-04,54.99075,63.70603,8.71527,15.85,Same quantities and categories; price schedule changed only
ICP000123-202604,ICP000123,RET005,RSU,Christchurch Urban,2026-04,106.00687,117.78654,11.77968,11.11,Same quantities and categories; price schedule changed only
ICP000124-202604,ICP000124,RET004,RES,Central Canterbury Rural,2026-04,41.27098,48.4573,7.18631,17.41,Same quantities and categories; price schedule changed only
ICP000125-202604,ICP000125,RET001,RES,Christchurch Urban,2026-04,51.7274,59.89512,8.16772,15.79,Same quantities and categories; price schedule changed only
ICP000126-202604,ICP000126,RET001,RES,Christchurch Urban,2026-04,71.00699,81.49324,10.48625,14.77,Same quantities and categories; price schedule changed only
ICP000127-202604,ICP000127,RET001,RSU,Christchurch Urban,2026-04,67.1746,74.38667,7.21207,10.74,Same quantities and categories; price schedule changed only
ICP000128-202604,ICP000128,RET001,RES,Christchurch Urban,2026-04,45.66699,53.09613,7.42914,16.27,Same quantities and categories; price schedule changed only
ICP000129-202604,ICP000129,RET002,RES,Selwyn,2026-04,58.15117,67.2509,9.09972,15.65,Same quantities and categories; price schedule changed only
ICP000130-202604,ICP000130,RET001,RSU,Christchurch Urban,2026-04,72.3415,79.75877,7.41727,10.25,Same quantities and categories; price schedule changed only
ICP000131-202604,ICP000131,RET001,RSC,Christchurch Urban,2026-04,94.67112,105.83772,11.16661,11.8,Same quantities and categories; price schedule changed only
ICP000132-202604,ICP000132,RET002,RES,Christchurch Urban,2026-04,77.00264,87.89162,10.88897,14.14,Same quantities and categories; price schedule changed only
ICP000133-202604,ICP000133,RET002,RES,Christchurch Urban,2026-04,65.35017,75.30749,9.95732,15.24,Same quantities and categories; price schedule changed only
ICP000134-202604,ICP000134,RET004,RES,Selwyn,2026-04,56.97115,65.68602,8.71487,15.3,Same quantities and categories; price schedule changed only
ICP000135-202604,ICP000135,RET001,RSC,Central Canterbury Rural,2026-04,90.07771,100.82173,10.74401,11.93,Same quantities and categories; price schedule changed only
ICP000136-202604,ICP000136,RET001,URES,Christchurch Urban,2026-04,45.67874,52.79616,7.11742,15.58,Same quantities and categories; price schedule changed only
ICP000137-202604,ICP000137,RET004,RES,Christchurch Urban,2026-04,82.31385,93.79625,11.4824,13.95,Same quantities and categories; price schedule changed only
ICP000138-202604,ICP000138,RET001,RES,Selwyn,2026-04,53.37673,61.70612,8.32939,15.6,Same quantities and categories; price schedule changed only
ICP000139-202604,ICP000139,RET003,RES,Christchurch Urban,2026-04,57.67347,66.46411,8.79064,15.24,Same quantities and categories; price schedule changed only
ICP000140-202604,ICP000140,RET002,URES,Christchurch Urban,2026-04,76.10279,86.52099,10.41821,13.69,Same quantities and categories; price schedule changed only
ICP000141-202604,ICP000141,RET002,RES,Selwyn,2026-04,40.48562,47.55437,7.06876,17.46,Same quantities and categories; price schedule changed only
ICP000142-202604,ICP000142,RET001,RES,Christchurch Urban,2026-04,43.77597,51.441,7.66504,17.51,Same quantities and categories; price schedule changed only
ICP000143-202604,ICP000143,RET002,RES,Christchurch Urban,2026-04,59.24176,68.32276,9.081,15.33,Same quantities and categories; price schedule changed only
ICP000144-202604,ICP000144,RET001,RSC,Christchurch Urban,2026-04,99.27423,111.50056,12.22633,12.32,Same quantities and categories; price schedule changed only
ICP000145-202604,ICP000145,RET004,RES,Christchurch Urban,2026-04,42.28602,49.60971,7.32369,17.32,Same quantities and categories; price schedule changed only
ICP000146-202604,ICP000146,RET002,RES,Christchurch Urban,2026-04,81.97419,93.72068,11.74649,14.33,Same quantities and categories; price schedule changed only
ICP000147-202604,ICP000147,RET003,RSC,Christchurch Urban,2026-04,53.04528,59.15753,6.11225,11.52,Same quantities and categories; price schedule changed only
ICP000148-202604,ICP000148,RET005,URES,Selwyn,2026-04,66.96945,76.38385,9.41441,14.06,Same quantities and categories; price schedule changed only
ICP000149-202604,ICP000149,RET001,RES,Christchurch Urban,2026-04,51.78956,59.93281,8.14325,15.72,Same quantities and categories; price schedule changed only
ICP000150-202604,ICP000150,RET001,RES,Christchurch Urban,2026-04,38.6004,45.39693,6.79653,17.61,Same quantities and categories; price schedule changed only
ICP000151-202604,ICP000151,RET003,RSC,Christchurch Urban,2026-04,105.62136,118.75087,13.12951,12.43,Same quantities and categories; price schedule changed only
ICP000152-202604,ICP000152,RET002,RES,Selwyn,2026-04,44.28889,51.56549,7.27661,16.43,Same quantities and categories; price schedule changed only
ICP000153-202604,ICP000153,RET003,URES,Christchurch Urban,2026-04,55.09325,63.30592,8.21267,14.91,Same quantities and categories; price schedule changed only
ICP000154-202604,ICP000154,RET002,RES,Christchurch Urban,2026-04,57.74274,66.55592,8.81318,15.26,Same quantities and categories; price schedule changed only
ICP000155-202604,ICP000155,RET004,RSC,Christchurch Urban,2026-04,96.19563,108.03246,11.83683,12.3,Same quantities and categories; price schedule changed only
ICP000156-202604,ICP000156,RET002,RES,Christchurch Urban,2026-04,65.43195,75.36479,9.93285,15.18,Same quantities and categories; price schedule changed only
ICP000157-202604,ICP000157,RET005,RES,Christchurch Urban,2026-04,39.01972,46.02013,7.00041,17.94,Same quantities and categories; price schedule changed only
ICP000158-202604,ICP000158,RET005,RES,Christchurch Urban,2026-04,32.90787,39.09865,6.19078,18.81,Same quantities and categories; price schedule changed only
ICP000159-202604,ICP000159,RET001,RSC,Christchurch Urban,2026-04,65.77752,73.66506,7.88754,11.99,Same quantities and categories; price schedule changed only
ICP000160-202604,ICP000160,RET003,RSC,Christchurch Urban,2026-04,67.06523,75.10809,8.04286,11.99,Same quantities and categories; price schedule changed only
ICP000161-202604,ICP000161,RET003,RES,Selwyn,2026-04,64.05371,73.67306,9.61935,15.02,Same quantities and categories; price schedule changed only
ICP000162-202604,ICP000162,RET001,RES,Selwyn,2026-04,55.61948,64.3024,8.68292,15.61,Same quantities and categories; price schedule changed only
ICP000163-202604,ICP000163,RET003,RES,Selwyn,2026-04,69.2201,79.06274,9.84264,14.22,Same quantities and categories; price schedule changed only
ICP000164-202604,ICP000164,RET001,RSU,Christchurch Urban,2026-04,77.58453,85.79461,8.21008,10.58,Same quantities and categories; price schedule changed only
ICP000165-202604,ICP000165,RET001,RSC,Selwyn,2026-04,115.30165,129.42675,14.12511,12.25,Same quantities and categories; price schedule changed only
ICP000166-202604,ICP000166,RET005,URES,Christchurch Urban,2026-04,80.2413,91.01434,10.77304,13.43,Same quantities and categories; price schedule changed only
ICP000167-202604,ICP000167,RET002,RSC,Christchurch Urban,2026-04,70.2851,78.26445,7.97935,11.35,Same quantities and categories; price schedule changed only
ICP000168-202604,ICP000168,RET001,URES,Christchurch Urban,2026-04,64.58055,73.80288,9.22233,14.28,Same quantities and categories; price schedule changed only
ICP000169-202604,ICP000169,RET005,RES,Christchurch Urban,2026-04,59.68276,68.61349,8.93073,14.96,Same quantities and categories; price schedule changed only
ICP000170-202604,ICP000170,RET003,URES,Christchurch Urban,2026-04,60.11066,68.88497,8.77431,14.6,Same quantities and categories; price schedule changed only
ICP000171-202604,ICP000171,RET002,URES,Christchurch Urban,2026-04,49.03584,56.44086,7.40502,15.1,Same quantities and categories; price schedule changed only
ICP000172-202604,ICP000172,RET001,RES,Christchurch Urban,2026-04,55.68442,64.30588,8.62146,15.48,Same quantities and categories; price schedule changed only
ICP000173-202604,ICP000173,RET004,RES,Christchurch Urban,2026-04,44.25005,51.53466,7.28461,16.46,Same quantities and categories; price schedule changed only
ICP000174-202604,ICP000174,RET005,URES,Christchurch Urban,2026-04,46.69007,53.97859,7.28852,15.61,Same quantities and categories; price schedule changed only
ICP000175-202604,ICP000175,RET003,RSC,Selwyn,2026-04,71.23942,79.7221,8.48267,11.91,Same quantities and categories; price schedule changed only
ICP000176-202604,ICP000176,RET005,URES,Christchurch Urban,2026-04,69.02309,78.64663,9.62354,13.94,Same quantities and categories; price schedule changed only
ICP000177-202604,ICP000177,RET003,RSC,Selwyn,2026-04,111.38321,124.46037,13.07716,11.74,Same quantities and categories; price schedule changed only
ICP000178-202604,ICP000178,RET004,RES,Christchurch Urban,2026-04,57.29221,66.18034,8.88813,15.51,Same quantities and categories; price schedule changed only
ICP000179-202604,ICP000179,RET001,URES,Christchurch Urban,2026-04,46.66374,53.82547,7.16173,15.35,Same quantities and categories; price schedule changed only
ICP000180-202604,ICP000180,RET005,RES,Christchurch Urban,2026-04,61.34612,70.53506,9.18894,14.98,Same quantities and categories; price schedule changed only
ICP000181-202604,ICP000181,RET002,URES,Christchurch Urban,2026-04,48.73078,56.26993,7.53915,15.47,Same quantities and categories; price schedule changed only
ICP000182-202604,ICP000182,RET002,RSC,Christchurch Urban,2026-04,109.18765,122.68324,13.49559,12.36,Same quantities and categories; price schedule changed only
ICP000183-202604,ICP000183,RET002,RES,Christchurch Urban,2026-04,94.73547,107.87819,13.14273,13.87,Same quantities and categories; price schedule changed only
ICP000184-202604,ICP000184,RET002,RES,Central Canterbury Rural,2026-04,67.12215,76.92839,9.80624,14.61,Same quantities and categories; price schedule changed only
ICP000185-202604,ICP000185,RET004,RES,Central Canterbury Rural,2026-04,55.33749,64.02399,8.6865,15.7,Same quantities and categories; price schedule changed only
ICP000186-202604,ICP000186,RET002,RSC,Christchurch Urban,2026-04,85.42138,95.34185,9.92047,11.61,Same quantities and categories; price schedule changed only
ICP000187-202604,ICP000187,RET002,RES,Christchurch Urban,2026-04,67.60516,77.59496,9.9898,14.78,Same quantities and categories; price schedule changed only
ICP000188-202604,ICP000188,RET004,RES,Selwyn,2026-04,79.16263,90.59415,11.43152,14.44,Same quantities and categories; price schedule changed only
ICP000189-202604,ICP000189,RET005,RSC,Central Canterbury Rural,2026-04,92.23261,103.68665,11.45405,12.42,Same quantities and categories; price schedule changed only
ICP000190-202604,ICP000190,RET005,RES,Christchurch Urban,2026-04,52.20812,60.3776,8.16948,15.65,Same quantities and categories; price schedule changed only
ICP000191-202604,ICP000191,RET001,RES,Christchurch Urban,2026-04,55.92906,64.85823,8.92917,15.97,Same quantities and categories; price schedule changed only
