consumption_id,icp_id,retailer_id,price_category_code,region,billing_month,billing_period_start,billing_period_end,icp_days,price_year,expected_delivery_charge_unrounded,component_count,expected_delivery_charge,data_origin,system_billed_amount_unrounded,system_billed_amount,system_line_count,detected_issue_type,billing_variance_unrounded,billing_variance,absolute_variance,variance_direction,validation_status,total_kwh
ICP000016-202602,ICP000016,RET002,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,54.41479124,6,54.41,Calculated reconciliation,54.41479124,54.41,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,555.665
ICP000017-202602,ICP000017,RET003,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,70.64712046,6,70.65,Calculated reconciliation,70.64712046,70.65,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,678.854
ICP000018-202602,ICP000018,RET003,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.45384504,6,52.45,Calculated reconciliation,52.45384504,52.45,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,407.292
ICP000019-202602,ICP000019,RET001,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.59269535,6,65.59,Calculated reconciliation,65.59269535,65.59,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,751.791
ICP000020-202602,ICP000020,RET001,URES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,52.31617541,6,52.32,Calculated reconciliation,52.31617541,52.32,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,512.285
ICP000021-202602,ICP000021,RET005,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.09273071,6,54.09,Calculated reconciliation,54.09273071,54.09,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,435.649
ICP000022-202602,ICP000022,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,87.66916764,6,87.67,Calculated reconciliation,87.66916764,87.67,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,975.543
ICP000023-202602,ICP000023,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.933622109999995,6,52.93,Calculated reconciliation,52.933622109999995,52.93,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,655.477
ICP000024-202602,ICP000024,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.76747507,6,50.77,Calculated reconciliation,50.76747507,50.77,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,533.811
ICP000025-202602,ICP000025,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.10805512,6,48.11,Calculated reconciliation,48.10805512,48.11,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,385.482
ICP000026-202602,ICP000026,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,46.02254138,6,46.02,Calculated reconciliation,46.02254138,46.02,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,507.984
ICP000027-202602,ICP000027,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,49.66129142,6,49.66,Calculated reconciliation,49.66129142,49.66,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,465.038
ICP000028-202602,ICP000028,RET002,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,62.86489152,6,62.86,Calculated reconciliation,62.86489152,62.86,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,565.855
ICP000029-202602,ICP000029,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.29040667,6,64.29,Calculated reconciliation,64.29040667,64.29,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,606.756
ICP000030-202602,ICP000030,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,42.64050137,6,42.64,Calculated reconciliation,42.64050137,42.64,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,383.944
ICP000031-202602,ICP000031,RET002,RSU,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,58.3416888,6,58.34,Calculated reconciliation,58.3416888,58.34,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,496.203
ICP000032-202602,ICP000032,RET004,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.603293879999995,6,48.6,Calculated reconciliation,48.603293879999995,48.6,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,376.323
ICP000033-202602,ICP000033,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,53.644503879999995,6,53.64,Calculated reconciliation,53.644503879999995,53.64,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,444.799
ICP000034-202602,ICP000034,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,71.21284358,6,71.21,Calculated reconciliation,71.21284358,71.21,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,582.803
ICP000035-202602,ICP000035,RET005,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,77.58417064999999,6,77.58,Calculated reconciliation,77.58417064999999,77.58,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,804.664
ICP000036-202602,ICP000036,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.49556692,6,48.5,Calculated reconciliation,48.49556692,48.5,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,481.722
ICP000037-202602,ICP000037,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,66.76860033,6,66.77,Calculated reconciliation,66.76860033,66.77,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,603.196
ICP000038-202602,ICP000038,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.65179696999999,6,54.65,Calculated reconciliation,54.65179696999999,54.65,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,576.126
ICP000039-202602,ICP000039,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.25893165,6,60.26,Calculated reconciliation,60.25893165,60.26,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,721.959
ICP000040-202602,ICP000040,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.97144673,6,54.97,Calculated reconciliation,54.97144673,54.97,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,599.809
ICP000041-202602,ICP000041,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,42.82872953,6,42.83,Calculated reconciliation,42.82872953,42.83,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,424.685
ICP000042-202602,ICP000042,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.41527627999999,6,60.42,Calculated reconciliation,60.41527627999999,60.42,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,571.599
ICP000043-202602,ICP000043,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,92.23333573,6,92.23,Calculated reconciliation,92.23333573,92.23,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,1099.912
ICP000044-202602,ICP000044,RET003,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.41924578,6,54.42,Calculated reconciliation,54.41924578,54.42,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,423.497
ICP000045-202602,ICP000045,RET001,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,70.54290553999999,6,70.54,Calculated reconciliation,70.54290553999999,70.54,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,661.399
ICP000046-202602,ICP000046,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,68.30428505,6,68.3,Calculated reconciliation,68.30428505,68.3,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,770.113
ICP000047-202602,ICP000047,RET001,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,57.28775726999999,6,57.29,Calculated reconciliation,57.28775726999999,57.29,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,344.121
ICP000048-202602,ICP000048,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.10345201,6,55.1,Calculated reconciliation,55.10345201,55.1,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,508.768
ICP000049-202602,ICP000049,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,47.96537342,6,47.97,Calculated reconciliation,47.96537342,47.97,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,465.871
ICP000050-202602,ICP000050,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.77851191,6,40.78,Calculated reconciliation,40.77851191,40.78,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,275.72
ICP000051-202602,ICP000051,RET004,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,45.23459878,6,45.23,Calculated reconciliation,45.23459878,45.23,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,432.652
ICP000052-202602,ICP000052,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,112.73178035,6,112.73,Calculated reconciliation,112.73178035,112.73,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,957.196
ICP000053-202602,ICP000053,RET003,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,52.97032261,6,52.97,Calculated reconciliation,52.97032261,52.97,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,411.519
ICP000054-202602,ICP000054,RET002,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,63.2596827,6,63.26,Calculated reconciliation,63.2596827,63.26,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,649.784
ICP000055-202602,ICP000055,RET001,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,49.14801336,6,49.15,Calculated reconciliation,49.14801336,49.15,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,413.025
ICP000056-202602,ICP000056,RET005,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.69986769,6,55.7,Calculated reconciliation,55.69986769,55.7,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,440.754
ICP000057-202602,ICP000057,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,53.972355949999994,6,53.97,Calculated reconciliation,53.972355949999994,53.97,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,539.832
ICP000058-202602,ICP000058,RET003,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,41.627008319999995,6,41.63,Calculated reconciliation,41.627008319999995,41.63,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,309.729
ICP000059-202602,ICP000059,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.81137467,6,40.81,Calculated reconciliation,40.81137467,40.81,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,331.345
ICP000060-202602,ICP000060,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,54.277060459999994,6,54.28,Calculated reconciliation,54.277060459999994,54.28,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,657.452
ICP000061-202602,ICP000061,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,40.82078627,6,40.82,Calculated reconciliation,40.82078627,40.82,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,406.149
ICP000062-202602,ICP000062,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,65.74160466,6,65.74,Calculated reconciliation,65.74160466,65.74,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,626.464
ICP000063-202602,ICP000063,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.931466349999994,6,50.93,Calculated reconciliation,50.931466349999994,50.93,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,500.283
ICP000064-202602,ICP000064,RET002,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,53.57314108,6,53.57,Calculated reconciliation,53.57314108,53.57,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,482.007
ICP000065-202602,ICP000065,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,58.56544837999999,6,58.57,Calculated reconciliation,58.56544837999999,58.57,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,647.892
ICP000066-202602,ICP000066,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,70.66376924999999,6,70.66,Calculated reconciliation,70.66376924999999,70.66,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,925.351
ICP000067-202602,ICP000067,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.55966042,6,51.56,Calculated reconciliation,51.55966042,51.56,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,541.589
ICP000068-202602,ICP000068,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,34.5569535,6,34.56,Calculated reconciliation,34.5569535,34.56,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,232.865
ICP000069-202602,ICP000069,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,57.263985649999995,6,57.26,Calculated reconciliation,57.263985649999995,57.26,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,437.577
ICP000070-202602,ICP000070,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,59.33231732,6,59.33,Calculated reconciliation,59.33231732,59.33,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,563.703
ICP000071-202602,ICP000071,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,63.67876362,6,63.68,Calculated reconciliation,63.67876362,63.68,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,672.115
ICP000072-202602,ICP000072,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,79.27960491,6,79.28,Calculated reconciliation,79.27960491,79.28,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,802.487
ICP000073-202602,ICP000073,RET002,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,63.94359793999999,6,63.94,Calculated reconciliation,63.94359793999999,63.94,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,719.404
ICP000074-202602,ICP000074,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,73.66390724,6,73.66,Calculated reconciliation,73.66390724,73.66,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,702.521
ICP000075-202602,ICP000075,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.22411198,6,50.22,Calculated reconciliation,50.22411198,50.22,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,549.123
ICP000076-202602,ICP000076,RET003,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,88.59374634,6,88.59,Calculated reconciliation,90.63194634,90.63,6,INCORRECT_ICP_DAYS,2.0382000000000033,2.04,2.04,Overbilled,REVIEW,1102.322
ICP000077-202602,ICP000077,RET002,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,54.82190808,6,54.82,Calculated reconciliation,54.82190808,54.82,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,547.853
ICP000078-202602,ICP000078,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.59700982,6,51.6,Calculated reconciliation,51.59700982,51.6,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,454.159
ICP000079-202602,ICP000079,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,39.723834759999995,6,39.72,Calculated reconciliation,39.723834759999995,39.72,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,441.622
ICP000080-202602,ICP000080,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,55.264973479999995,6,55.26,Calculated reconciliation,55.264973479999995,55.26,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,702.943
ICP000081-202602,ICP000081,RET003,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,100.43564987,6,100.44,Calculated reconciliation,100.43564987,100.44,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,988.409
ICP000082-202602,ICP000082,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,82.19476234999999,6,82.19,Calculated reconciliation,82.19476234999999,82.19,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,1024.883
ICP000083-202602,ICP000083,RET003,RES,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,47.36962844,6,47.37,Calculated reconciliation,47.36962844,47.37,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,450.268
ICP000084-202602,ICP000084,RET004,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,80.60624181,6,80.61,Calculated reconciliation,80.60624181,80.61,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,773.244
ICP000085-202602,ICP000085,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,60.91013225,6,60.91,Calculated reconciliation,60.91013225,60.91,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,660.572
ICP000086-202602,ICP000086,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,41.5920165,6,41.59,Calculated reconciliation,41.5920165,41.59,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,330.836
ICP000087-202602,ICP000087,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,51.80537212,6,51.81,Calculated reconciliation,51.80537212,51.81,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,517.275
ICP000088-202602,ICP000088,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,47.02597716,6,47.03,Calculated reconciliation,47.02597716,47.03,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,383.319
ICP000089-202602,ICP000089,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.82631169,6,64.83,Calculated reconciliation,64.82631169,64.83,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,644.149
ICP000090-202602,ICP000090,RET002,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,52.84878107,6,52.85,Calculated reconciliation,52.84878107,52.85,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,483.061
ICP000091-202602,ICP000091,RET004,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,43.76780837,6,43.77,Calculated reconciliation,43.76780837,43.77,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,454.744
ICP000092-202602,ICP000092,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,44.355024,6,44.36,Calculated reconciliation,44.355024,44.36,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,427.034
ICP000093-202602,ICP000093,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,50.13393101,6,50.13,Calculated reconciliation,50.13393101,50.13,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,472.485
ICP000094-202602,ICP000094,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,61.22692925999999,6,61.23,Calculated reconciliation,61.22692925999999,61.23,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,629.282
ICP000095-202602,ICP000095,RET001,RES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,57.10533808,6,57.11,Calculated reconciliation,57.10533808,57.11,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,494.101
ICP000096-202602,ICP000096,RET002,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,64.72464228,6,64.72,Calculated reconciliation,64.72464228,64.72,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,618.235
ICP000097-202602,ICP000097,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,48.358906229999995,6,48.36,Calculated reconciliation,48.358906229999995,48.36,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,475.404
ICP000098-202602,ICP000098,RET005,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,68.13675477,6,68.14,Calculated reconciliation,68.13675477,68.14,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,734.116
ICP000099-202602,ICP000099,RET003,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,62.6527263,6,62.65,Calculated reconciliation,62.6527263,62.65,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,484.688
ICP000100-202602,ICP000100,RET003,RSC,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,2025,93.72446206,6,93.72,Calculated reconciliation,93.72446206,93.72,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,1025.286
ICP000101-202602,ICP000101,RET003,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,66.7037091,6,66.7,Calculated reconciliation,66.7037091,66.7,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,757.09
ICP000102-202602,ICP000102,RET001,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,85.18343718999999,6,85.18,Calculated reconciliation,85.18343718999999,85.18,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,966.819
ICP000103-202602,ICP000103,RET002,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,96.88805078,6,96.89,Calculated reconciliation,96.88805078,96.89,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,1218.185
ICP000104-202602,ICP000104,RET005,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,89.96325218999999,6,89.96,Calculated reconciliation,89.96325218999999,89.96,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,974.228
ICP000105-202602,ICP000105,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,57.15644018,6,57.16,Calculated reconciliation,57.15644018,57.16,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,628.427
ICP000106-202602,ICP000106,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,39.46086766,6,39.46,Calculated reconciliation,39.46086766,39.46,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,460.009
ICP000107-202602,ICP000107,RET004,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,58.66236999,6,58.66,Calculated reconciliation,60.16236999,60.16,6,INCORRECT_ICP_DAYS,1.5,1.5,1.5,Overbilled,REVIEW,505.495
ICP000108-202602,ICP000108,RET001,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,2025,49.12316508,6,49.12,Calculated reconciliation,49.12316508,49.12,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,486.684
ICP000109-202602,ICP000109,RET001,RSC,Selwyn,2026-02,2026-02-01,2026-02-28,28,2025,87.55584942,6,87.56,Calculated reconciliation,87.55584942,87.56,6,NO_ISSUE,0.0,0.0,0.0,No material variance,PASS,1173.267
