consumption_id,icp_id,retailer_id,connection_group,control_type,price_category_code,region,billing_month,billing_period_start,billing_period_end,icp_days,component_name,quantity,quantity_unit,price_year,effective_from,effective_to,component_code,delivery_price,unit,price_effective_for_period,expected_charge_unrounded,expected_charge_display,data_origin
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,1.313,kWh,2025,2025-04-01,2026-03-31,RSCCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000002-202602,ICP000002,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,111.438,kWh,2025,2025-04-01,2026-03-31,RSCCWKD,0.03109,$/kWh,True,3.46460742,3.46461,Calculated from public prices and simulated quantities
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,93.14,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.6715394,0.67154,Calculated from public prices and simulated quantities
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,180.68,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,28.2059548,28.20595,Calculated from public prices and simulated quantities
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,136.433,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,12.416767329999999,12.41677,Calculated from public prices and simulated quantities
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,35.152,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000003-202602,ICP000003,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,181.066,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,7.08511258,7.08511,Calculated from public prices and simulated quantities
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,112.511,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.81120431,0.8112,Calculated from public prices and simulated quantities
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,87.961,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,13.73159171,13.73159,Calculated from public prices and simulated quantities
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,201.341,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,18.32404441,18.32404,Calculated from public prices and simulated quantities
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,28.637,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000004-202602,ICP000004,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,118.651,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,4.64281363,4.64281,Calculated from public prices and simulated quantities
ICP000005-202602,ICP000005,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities
ICP000005-202602,ICP000005,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,107.498,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.7750605800000001,0.77506,Calculated from public prices and simulated quantities
ICP000005-202602,ICP000005,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,88.882,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,13.87536902,13.87537,Calculated from public prices and simulated quantities
ICP000005-202602,ICP000005,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,192.013,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,17.47510313,17.4751,Calculated from public prices and simulated quantities
ICP000005-202602,ICP000005,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,48.872,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000005-202602,ICP000005,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,156.063,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,6.106745189999999,6.10675,Calculated from public prices and simulated quantities
ICP000006-202602,ICP000006,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RSUUFXD,1.1613,$/con/day,True,32.5164,32.5164,Calculated from public prices and simulated quantities
ICP000006-202602,ICP000006,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,90.158,kWh,2025,2025-04-01,2026-03-31,RSUUOP,0.00582,$/kWh,True,0.52471956,0.52472,Calculated from public prices and simulated quantities
ICP000006-202602,ICP000006,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,188.172,kWh,2025,2025-04-01,2026-03-31,RSUUP,0.12458,$/kWh,True,23.44246776,23.44247,Calculated from public prices and simulated quantities
ICP000006-202602,ICP000006,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,85.531,kWh,2025,2025-04-01,2026-03-31,RSUUSH,0.0726,$/kWh,True,6.2095506,6.20955,Calculated from public prices and simulated quantities
ICP000006-202602,ICP000006,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,46.457,kWh,2025,2025-04-01,2026-03-31,RSUUSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000006-202602,ICP000006,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,104.005,kWh,2025,2025-04-01,2026-03-31,RSUUWKD,0.03109,$/kWh,True,3.2335154499999996,3.23352,Calculated from public prices and simulated quantities
ICP000007-202602,ICP000007,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RSCCFXD,1.0191,$/con/day,True,28.534799999999997,28.5348,Calculated from public prices and simulated quantities
ICP000007-202602,ICP000007,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,51.633,kWh,2025,2025-04-01,2026-03-31,RSCCOP,0.00582,$/kWh,True,0.30050406,0.3005,Calculated from public prices and simulated quantities
ICP000007-202602,ICP000007,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,213.315,kWh,2025,2025-04-01,2026-03-31,RSCCP,0.12458,$/kWh,True,26.5747827,26.57478,Calculated from public prices and simulated quantities
ICP000007-202602,ICP000007,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,427.126,kWh,2025,2025-04-01,2026-03-31,RSCCSH,0.0726,$/kWh,True,31.009347599999998,31.00935,Calculated from public prices and simulated quantities
ICP000007-202602,ICP000007,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,88.075,kWh,2025,2025-04-01,2026-03-31,RSCCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000007-202602,ICP000007,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,219.444,kWh,2025,2025-04-01,2026-03-31,RSCCWKD,0.03109,$/kWh,True,6.822513959999999,6.82251,Calculated from public prices and simulated quantities
ICP000008-202602,ICP000008,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RSCCFXD,1.0191,$/con/day,True,28.534799999999997,28.5348,Calculated from public prices and simulated quantities
ICP000008-202602,ICP000008,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,123.684,kWh,2025,2025-04-01,2026-03-31,RSCCOP,0.00582,$/kWh,True,0.7198408799999999,0.71984,Calculated from public prices and simulated quantities
ICP000008-202602,ICP000008,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,92.556,kWh,2025,2025-04-01,2026-03-31,RSCCP,0.12458,$/kWh,True,11.530626479999999,11.53063,Calculated from public prices and simulated quantities
ICP000008-202602,ICP000008,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,202.526,kWh,2025,2025-04-01,2026-03-31,RSCCSH,0.0726,$/kWh,True,14.703387600000001,14.70339,Calculated from public prices and simulated quantities
ICP000008-202602,ICP000008,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,8.919,kWh,2025,2025-04-01,2026-03-31,RSCCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000008-202602,ICP000008,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,277.911,kWh,2025,2025-04-01,2026-03-31,RSCCWKD,0.03109,$/kWh,True,8.64025299,8.64025,Calculated from public prices and simulated quantities
ICP000009-202602,ICP000009,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,URESUFXD,0.75,$/con/day,True,21.0,21.0,Calculated from public prices and simulated quantities
ICP000009-202602,ICP000009,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,47.542,kWh,2025,2025-04-01,2026-03-31,URESUOP,0.00721,$/kWh,True,0.34277782,0.34278,Calculated from public prices and simulated quantities
ICP000009-202602,ICP000009,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,36.645,kWh,2025,2025-04-01,2026-03-31,URESUP,0.15611,$/kWh,True,5.7206509500000005,5.72065,Calculated from public prices and simulated quantities
ICP000009-202602,ICP000009,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,60.761,kWh,2025,2025-04-01,2026-03-31,URESUSH,0.09101,$/kWh,True,5.52985861,5.52986,Calculated from public prices and simulated quantities
ICP000009-202602,ICP000009,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,1.577,kWh,2025,2025-04-01,2026-03-31,URESUSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000009-202602,ICP000009,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,192.751,kWh,2025,2025-04-01,2026-03-31,URESUWKD,0.03913,$/kWh,True,7.54234663,7.54235,Calculated from public prices and simulated quantities
ICP000010-202602,ICP000010,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities
ICP000010-202602,ICP000010,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,97.875,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.70567875,0.70568,Calculated from public prices and simulated quantities
ICP000010-202602,ICP000010,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,61.194,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,9.55299534,9.553,Calculated from public prices and simulated quantities
ICP000010-202602,ICP000010,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,145.286,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,13.222478859999999,13.22248,Calculated from public prices and simulated quantities
ICP000010-202602,ICP000010,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,3.077,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000010-202602,ICP000010,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,232.159,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,9.084381669999999,9.08438,Calculated from public prices and simulated quantities
ICP000011-202602,ICP000011,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities
ICP000011-202602,ICP000011,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,60.235,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.43429435,0.43429,Calculated from public prices and simulated quantities
ICP000011-202602,ICP000011,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,24.876,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,3.88339236,3.88339,Calculated from public prices and simulated quantities
ICP000011-202602,ICP000011,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,184.709,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,16.81036609,16.81037,Calculated from public prices and simulated quantities
ICP000011-202602,ICP000011,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,9.355,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000011-202602,ICP000011,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,166.121,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,6.50031473,6.50031,Calculated from public prices and simulated quantities
ICP000012-202602,ICP000012,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities
ICP000012-202602,ICP000012,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,65.504,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.47228384000000007,0.47228,Calculated from public prices and simulated quantities
ICP000012-202602,ICP000012,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,63.97,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,9.9863567,9.98636,Calculated from public prices and simulated quantities
ICP000012-202602,ICP000012,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,141.446,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,12.873000459999998,12.873,Calculated from public prices and simulated quantities
ICP000012-202602,ICP000012,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,5.174,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000012-202602,ICP000012,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,134.313,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,5.255667689999999,5.25567,Calculated from public prices and simulated quantities
ICP000013-202602,ICP000013,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,URESUFXD,0.75,$/con/day,True,21.0,21.0,Calculated from public prices and simulated quantities
ICP000013-202602,ICP000013,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Off Peak,80.965,kWh,2025,2025-04-01,2026-03-31,URESUOP,0.00721,$/kWh,True,0.58375765,0.58376,Calculated from public prices and simulated quantities
ICP000013-202602,ICP000013,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Peak,29.365,kWh,2025,2025-04-01,2026-03-31,URESUP,0.15611,$/kWh,True,4.584170149999999,4.58417,Calculated from public prices and simulated quantities
ICP000013-202602,ICP000013,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Shoulder,93.265,kWh,2025,2025-04-01,2026-03-31,URESUSH,0.09101,$/kWh,True,8.488047649999999,8.48805,Calculated from public prices and simulated quantities
ICP000013-202602,ICP000013,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,15.775,kWh,2025,2025-04-01,2026-03-31,URESUSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000013-202602,ICP000013,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Weekend,45.781,kWh,2025,2025-04-01,2026-03-31,URESUWKD,0.03913,$/kWh,True,1.7914105299999998,1.79141,Calculated from public prices and simulated quantities
ICP000014-202602,ICP000014,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RSCCFXD,1.0191,$/con/day,True,28.534799999999997,28.5348,Calculated from public prices and simulated quantities
ICP000014-202602,ICP000014,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,118.818,kWh,2025,2025-04-01,2026-03-31,RSCCOP,0.00582,$/kWh,True,0.69152076,0.69152,Calculated from public prices and simulated quantities
ICP000014-202602,ICP000014,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,116.778,kWh,2025,2025-04-01,2026-03-31,RSCCP,0.12458,$/kWh,True,14.54820324,14.5482,Calculated from public prices and simulated quantities
ICP000014-202602,ICP000014,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,386.311,kWh,2025,2025-04-01,2026-03-31,RSCCSH,0.0726,$/kWh,True,28.046178599999998,28.04618,Calculated from public prices and simulated quantities
ICP000014-202602,ICP000014,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,30.621,kWh,2025,2025-04-01,2026-03-31,RSCCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000014-202602,ICP000014,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,168.315,kWh,2025,2025-04-01,2026-03-31,RSCCWKD,0.03109,$/kWh,True,5.23291335,5.23291,Calculated from public prices and simulated quantities
ICP000015-202602,ICP000015,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,RESCFXD,0.6078,$/con/day,True,17.0184,17.0184,Calculated from public prices and simulated quantities
ICP000015-202602,ICP000015,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Off Peak,64.39,kWh,2025,2025-04-01,2026-03-31,RESCOP,0.00721,$/kWh,True,0.4642519,0.46425,Calculated from public prices and simulated quantities
ICP000015-202602,ICP000015,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Peak,108.159,kWh,2025,2025-04-01,2026-03-31,RESCP,0.15611,$/kWh,True,16.88470149,16.8847,Calculated from public prices and simulated quantities
ICP000015-202602,ICP000015,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Shoulder,71.886,kWh,2025,2025-04-01,2026-03-31,RESCSH,0.09101,$/kWh,True,6.542344859999999,6.54234,Calculated from public prices and simulated quantities
ICP000015-202602,ICP000015,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,19.036,kWh,2025,2025-04-01,2026-03-31,RESCSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
ICP000015-202602,ICP000015,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2026-02,2026-02-01,2026-02-28,28,Weekend,144.915,kWh,2025,2025-04-01,2026-03-31,RESCWKD,0.03913,$/kWh,True,5.67052395,5.67052,Calculated from public prices and simulated quantities
ICP000016-202602,ICP000016,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Fixed Daily Charge,28.0,connection days,2025,2025-04-01,2026-03-31,URESUFXD,0.75,$/con/day,True,21.0,21.0,Calculated from public prices and simulated quantities
ICP000016-202602,ICP000016,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Off Peak,162.318,kWh,2025,2025-04-01,2026-03-31,URESUOP,0.00721,$/kWh,True,1.1703127800000002,1.17031,Calculated from public prices and simulated quantities
ICP000016-202602,ICP000016,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Peak,84.837,kWh,2025,2025-04-01,2026-03-31,URESUP,0.15611,$/kWh,True,13.243904070000001,13.2439,Calculated from public prices and simulated quantities
ICP000016-202602,ICP000016,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Shoulder,136.871,kWh,2025,2025-04-01,2026-03-31,URESUSH,0.09101,$/kWh,True,12.45662971,12.45663,Calculated from public prices and simulated quantities
ICP000016-202602,ICP000016,RET002,Residential Low User,Uncontrolled,URES,Central Canterbury Rural,2026-02,2026-02-01,2026-02-28,28,Super Off Peak,4.403,kWh,2025,2025-04-01,2026-03-31,URESUSOP,0.0,$/kWh,True,0.0,0.0,Calculated from public prices and simulated quantities
