icp_id,retailer_id,connection_group,control_type,price_category_code,region,connection_start_date,connection_end_date,status,data_origin
ICP000101,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2021-07-09,,Active,Simulated
ICP000102,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-02-26,,Active,Simulated
ICP000103,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-05-30,,Active,Simulated
ICP000104,RET005,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-03-31,,Active,Simulated
ICP000105,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-04-19,,Active,Simulated
ICP000106,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-09-26,,Active,Simulated
ICP000107,RET004,Residential Low User,Uncontrolled,URES,Christchurch Urban,2023-02-03,,Active,Simulated
ICP000108,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-06-03,,Active,Simulated
ICP000109,RET001,Residential Standard User,Controlled,RSC,Selwyn,2022-02-10,,Active,Simulated
ICP000110,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-12-24,,Active,Simulated
ICP000111,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2022-01-25,,Active,Simulated
ICP000112,RET003,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2022-09-05,,Active,Simulated
ICP000113,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-06-18,,Active,Simulated
ICP000114,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-01-11,,Active,Simulated
ICP000115,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2022-09-15,,Active,Simulated
ICP000116,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2022-08-28,,Active,Simulated
ICP000117,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-11-14,,Active,Simulated
ICP000118,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2021-08-16,,Active,Simulated
ICP000119,RET004,Residential Low User,Controlled,RES,Selwyn,2022-02-08,,Active,Simulated
ICP000120,RET004,Residential Low User,Controlled,RES,Selwyn,2023-02-17,,Active,Simulated
ICP000121,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-07-22,,Active,Simulated
ICP000122,RET005,Residential Low User,Controlled,RES,Selwyn,2024-10-31,,Active,Simulated
ICP000123,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2024-03-21,,Active,Simulated
ICP000124,RET004,Residential Low User,Controlled,RES,Central Canterbury Rural,2024-06-12,,Active,Simulated
ICP000125,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-07-05,,Active,Simulated
ICP000126,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-05-11,,Active,Simulated
ICP000127,RET001,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2023-07-28,,Active,Simulated
ICP000128,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-06-16,,Active,Simulated
ICP000129,RET002,Residential Low User,Controlled,RES,Selwyn,2021-06-13,,Active,Simulated
ICP000130,RET001,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2022-03-23,,Active,Simulated
ICP000131,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-03-04,,Active,Simulated
ICP000132,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2022-05-13,,Active,Simulated
ICP000133,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2024-05-03,,Active,Simulated
ICP000134,RET004,Residential Low User,Controlled,RES,Selwyn,2024-10-24,,Active,Simulated
ICP000135,RET001,Residential Standard User,Controlled,RSC,Central Canterbury Rural,2023-12-05,,Active,Simulated
ICP000136,RET001,Residential Low User,Uncontrolled,URES,Christchurch Urban,2022-12-08,,Active,Simulated
ICP000137,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2023-12-02,,Active,Simulated
ICP000138,RET001,Residential Low User,Controlled,RES,Selwyn,2022-04-09,,Active,Simulated
ICP000139,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2023-05-05,,Active,Simulated
ICP000140,RET002,Residential Low User,Uncontrolled,URES,Christchurch Urban,2024-07-13,,Active,Simulated
ICP000141,RET002,Residential Low User,Controlled,RES,Selwyn,2021-11-23,,Active,Simulated
ICP000142,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-11-02,,Active,Simulated
ICP000143,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-07-03,,Active,Simulated
ICP000144,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-03-01,,Active,Simulated
ICP000145,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2023-11-09,,Active,Simulated
ICP000146,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-06-14,,Active,Simulated
ICP000147,RET003,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-03-27,,Active,Simulated
ICP000148,RET005,Residential Low User,Uncontrolled,URES,Selwyn,2022-09-17,,Active,Simulated
ICP000149,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-05-21,,Active,Simulated
ICP000150,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-09-21,,Active,Simulated
ICP000151,RET003,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-10-04,,Active,Simulated
ICP000152,RET002,Residential Low User,Controlled,RES,Selwyn,2024-11-01,,Active,Simulated
ICP000153,RET003,Residential Low User,Uncontrolled,URES,Christchurch Urban,2023-03-18,,Active,Simulated
ICP000154,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2024-12-24,,Active,Simulated
ICP000155,RET004,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-05-01,,Active,Simulated
ICP000156,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-01-31,,Active,Simulated
ICP000157,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2022-02-09,,Active,Simulated
ICP000158,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2023-12-13,,Active,Simulated
ICP000159,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-12-06,,Active,Simulated
ICP000160,RET003,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-12-02,,Active,Simulated
ICP000161,RET003,Residential Low User,Controlled,RES,Selwyn,2023-02-01,,Active,Simulated
ICP000162,RET001,Residential Low User,Controlled,RES,Selwyn,2023-09-14,,Active,Simulated
ICP000163,RET003,Residential Low User,Controlled,RES,Selwyn,2021-09-25,,Active,Simulated
ICP000164,RET001,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2021-09-21,,Active,Simulated
ICP000165,RET001,Residential Standard User,Controlled,RSC,Selwyn,2021-01-15,,Active,Simulated
ICP000166,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2022-10-07,,Active,Simulated
ICP000167,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-01-20,,Active,Simulated
ICP000168,RET001,Residential Low User,Uncontrolled,URES,Christchurch Urban,2023-11-21,,Active,Simulated
ICP000169,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2021-06-09,,Active,Simulated
ICP000170,RET003,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-01-03,,Active,Simulated
ICP000171,RET002,Residential Low User,Uncontrolled,URES,Christchurch Urban,2023-10-22,,Active,Simulated
ICP000172,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-04-03,,Active,Simulated
ICP000173,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2022-03-28,,Active,Simulated
ICP000174,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-06-17,,Active,Simulated
ICP000175,RET003,Residential Standard User,Controlled,RSC,Selwyn,2023-09-13,,Active,Simulated
ICP000176,RET005,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-10-14,,Active,Simulated
ICP000177,RET003,Residential Standard User,Controlled,RSC,Selwyn,2022-04-30,,Active,Simulated
ICP000178,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-02-10,,Active,Simulated
ICP000179,RET001,Residential Low User,Uncontrolled,URES,Christchurch Urban,2023-08-10,,Active,Simulated
ICP000180,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2022-11-20,,Active,Simulated
ICP000181,RET002,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-09-19,,Active,Simulated
ICP000182,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2021-06-06,,Active,Simulated
ICP000183,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-05-03,,Active,Simulated
ICP000184,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2022-04-24,,Active,Simulated
ICP000185,RET004,Residential Low User,Controlled,RES,Central Canterbury Rural,2024-08-20,,Active,Simulated
ICP000186,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-01-02,,Active,Simulated
ICP000187,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-01-29,,Active,Simulated
ICP000188,RET004,Residential Low User,Controlled,RES,Selwyn,2021-09-30,,Active,Simulated
ICP000189,RET005,Residential Standard User,Controlled,RSC,Central Canterbury Rural,2023-12-06,,Active,Simulated
ICP000190,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2022-01-16,,Active,Simulated
ICP000191,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-12-12,,Active,Simulated
ICP000192,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2021-06-12,,Active,Simulated
ICP000193,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-05-02,,Active,Simulated
ICP000194,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-05-24,,Active,Simulated
ICP000195,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-07-26,,Active,Simulated
ICP000196,RET002,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-12-13,,Active,Simulated
ICP000197,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2022-05-22,,Active,Simulated
ICP000198,RET002,Residential Low User,Controlled,RES,Selwyn,2023-05-22,,Active,Simulated
ICP000199,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2021-08-06,,Active,Simulated
ICP000200,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2022-01-30,,Active,Simulated
ICP000201,RET001,Residential Low User,Controlled,RES,Selwyn,2021-06-13,,Active,Simulated
ICP000202,RET005,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-04-16,,Active,Simulated
ICP000203,RET004,Residential Low User,Uncontrolled,URES,Selwyn,2023-07-24,,Active,Simulated
ICP000204,RET005,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2021-08-15,,Active,Simulated
ICP000205,RET005,Residential Low User,Uncontrolled,URES,Selwyn,2021-03-18,,Active,Simulated
ICP000206,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-11-25,,Active,Simulated
ICP000207,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-09-30,,Active,Simulated
ICP000208,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2023-10-27,,Active,Simulated
ICP000209,RET001,Residential Low User,Controlled,RES,Selwyn,2022-07-01,,Active,Simulated
ICP000210,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2023-08-08,,Active,Simulated
ICP000211,RET002,Residential Low User,Controlled,RES,Selwyn,2024-10-17,,Active,Simulated
ICP000212,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2023-03-28,,Active,Simulated
ICP000213,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2021-10-20,,Active,Simulated
ICP000214,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-05-01,,Active,Simulated
ICP000215,RET004,Residential Low User,Controlled,RES,Central Canterbury Rural,2021-01-27,,Active,Simulated
ICP000216,RET003,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-10-31,,Active,Simulated
ICP000217,RET001,Residential Low User,Controlled,RES,Central Canterbury Rural,2023-03-01,,Active,Simulated
ICP000218,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2023-08-29,,Active,Simulated
ICP000219,RET005,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-06-06,,Active,Simulated
ICP000220,RET004,Residential Low User,Uncontrolled,URES,Christchurch Urban,2022-07-30,,Active,Simulated
ICP000221,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2021-12-04,,Active,Simulated
ICP000222,RET002,Residential Low User,Controlled,RES,Selwyn,2022-04-16,,Active,Simulated
ICP000223,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-01-17,,Active,Simulated
ICP000224,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-09-19,,Active,Simulated
ICP000225,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-09-12,,Active,Simulated
ICP000226,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-01-28,,Active,Simulated
ICP000227,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-04-12,,Active,Simulated
ICP000228,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-08-07,,Active,Simulated
ICP000229,RET002,Residential Low User,Uncontrolled,URES,Christchurch Urban,2022-12-29,,Active,Simulated
ICP000230,RET003,Residential Low User,Controlled,RES,Central Canterbury Rural,2023-12-16,,Active,Simulated
ICP000231,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2023-12-21,,Active,Simulated
ICP000232,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-10-22,,Active,Simulated
ICP000233,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2024-01-20,,Active,Simulated
ICP000234,RET003,Residential Standard User,Controlled,RSC,Selwyn,2021-11-06,,Active,Simulated
ICP000235,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2023-09-25,,Active,Simulated
ICP000236,RET001,Residential Low User,Controlled,RES,Selwyn,2021-01-12,,Active,Simulated
ICP000237,RET001,Residential Low User,Uncontrolled,URES,Christchurch Urban,2022-03-13,,Active,Simulated
ICP000238,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2022-03-26,,Active,Simulated
ICP000239,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2024-12-02,,Active,Simulated
ICP000240,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2023-04-16,,Active,Simulated
ICP000241,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-09-14,,Active,Simulated
ICP000242,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-10-06,,Active,Simulated
ICP000243,RET003,Residential Standard User,Controlled,RSC,Christchurch Urban,2024-09-23,,Active,Simulated
ICP000244,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-02-28,,Active,Simulated
ICP000245,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2023-03-24,,Active,Simulated
ICP000246,RET003,Residential Low User,Controlled,RES,Central Canterbury Rural,2021-11-20,,Active,Simulated
ICP000247,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2022-06-21,,Active,Simulated
ICP000248,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2023-03-07,,Active,Simulated
ICP000249,RET001,Residential Low User,Uncontrolled,URES,Selwyn,2021-03-01,,Active,Simulated
ICP000250,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2021-10-26,,Active,Simulated
ICP000251,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2024-08-21,,Active,Simulated
ICP000252,RET002,Residential Standard User,Uncontrolled,RSU,Christchurch Urban,2024-02-22,,Active,Simulated
ICP000253,RET002,Residential Low User,Uncontrolled,URES,Christchurch Urban,2022-06-16,,Active,Simulated
ICP000254,RET002,Residential Low User,Controlled,RES,Selwyn,2021-12-11,,Active,Simulated
ICP000255,RET003,Residential Low User,Uncontrolled,URES,Christchurch Urban,2024-07-15,,Active,Simulated
ICP000256,RET001,Residential Low User,Controlled,RES,Selwyn,2022-04-28,,Active,Simulated
ICP000257,RET003,Residential Standard User,Controlled,RSC,Selwyn,2024-12-21,,Active,Simulated
ICP000258,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2021-02-03,,Active,Simulated
ICP000259,RET002,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-12-02,,Active,Simulated
ICP000260,RET002,Residential Low User,Controlled,RES,Central Canterbury Rural,2022-07-29,,Active,Simulated
ICP000261,RET004,Residential Low User,Controlled,RES,Central Canterbury Rural,2023-06-30,,Active,Simulated
ICP000262,RET001,Residential Low User,Controlled,RES,Selwyn,2021-09-12,,Active,Simulated
ICP000263,RET001,Residential Low User,Uncontrolled,URES,Christchurch Urban,2021-12-21,,Active,Simulated
ICP000264,RET001,Residential Low User,Controlled,RES,Central Canterbury Rural,2022-12-09,,Active,Simulated
ICP000265,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2023-04-30,,Active,Simulated
ICP000266,RET003,Residential Low User,Controlled,RES,Christchurch Urban,2021-07-18,,Active,Simulated
ICP000267,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-09-27,,Active,Simulated
ICP000268,RET001,Residential Low User,Controlled,RES,Christchurch Urban,2024-07-14,,Active,Simulated
ICP000269,RET003,Residential Standard User,Controlled,RSC,Selwyn,2023-03-16,,Active,Simulated
ICP000270,RET002,Residential Low User,Controlled,RES,Christchurch Urban,2021-11-19,,Active,Simulated
ICP000271,RET004,Residential Low User,Controlled,RES,Christchurch Urban,2023-09-13,,Active,Simulated
ICP000272,RET005,Residential Low User,Controlled,RES,Christchurch Urban,2021-04-26,,Active,Simulated
ICP000273,RET001,Residential Standard User,Controlled,RSC,Christchurch Urban,2022-07-18,,Active,Simulated
